경기도 안양시 동안구 평촌동	54-1	0001	0054	대도	45.9	201706	21~30	        22,500	5	1983	흥안대로434번길
경기도 안양시 동안구 평촌동	34	0000	0034	삼성래미안	84.84	201706	1~10	        42,300	6	2000	흥안대로456번길
경기도 안양시 동안구 평촌동	34	0000	0034	삼성래미안	59.76	201706	1~10	        36,600	3	2000	흥안대로456번길
경기도 안양시 동안구 평촌동	34	0000	0034	삼성래미안	84.99	201706	1~10	        41,000	10	2000	흥안대로456번길
경기도 안양시 동안구 평촌동	34	0000	0034	삼성래미안	59.76	201706	11~20	        38,500	10	2000	흥안대로456번길
경기도 안양시 동안구 평촌동	34	0000	0034	삼성래미안	84.99	201706	11~20	        42,000	11	2000	흥안대로456번길
경기도 안양시 동안구 평촌동	34	0000	0034	삼성래미안	59.76	201706	11~20	        37,000	7	2000	흥안대로456번길
경기도 안양시 동안구 평촌동	34	0000	0034	삼성래미안	84.99	201706	11~20	        40,000	3	2000	흥안대로456번길
경기도 안양시 동안구 평촌동	34	0000	0034	삼성래미안	84.84	201706	21~30	        42,200	19	2000	흥안대로456번길
경기도 안양시 동안구 평촌동	34	0000	0034	삼성래미안	84.99	201706	21~30	        41,000	10	2000	흥안대로456번길
경기도 안양시 동안구 평촌동	34	0000	0034	삼성래미안	84.99	201707	21~31	        40,500	20	2000	흥안대로456번길
경기도 안양시 동안구 평촌동	101	0000	0101	인덕원대림2차	84.92	201706	1~10	        49,500	23	2004	흥안대로414번길
경기도 안양시 동안구 평촌동	101	0000	0101	인덕원대림2차	84.92	201706	1~10	        47,000	16	2004	흥안대로414번길
경기도 안양시 동안구 평촌동	101	0000	0101	인덕원대림2차	84.92	201706	1~10	        45,500	11	2004	흥안대로414번길
경기도 안양시 동안구 평촌동	101	0000	0101	인덕원대림2차	84.92	201706	11~20	        45,900	11	2004	흥안대로414번길
경기도 안양시 동안구 평촌동	101	0000	0101	인덕원대림2차	84.92	201706	11~20	        45,800	10	2004	흥안대로414번길
경기도 안양시 동안구 평촌동	75-2	0002	0075	인덕원대우	84.96	201706	1~10	        45,900	18	2001	학의로
경기도 안양시 동안구 평촌동	75-2	0002	0075	인덕원대우	84.96	201706	1~10	        47,500	13	2001	학의로408번길
경기도 안양시 동안구 평촌동	75-2	0002	0075	인덕원대우	59.92	201706	1~10	        39,700	22	2001	학의로
경기도 안양시 동안구 평촌동	75-2	0002	0075	인덕원대우	84.96	201706	1~10	        47,000	6	2001	학의로
경기도 안양시 동안구 평촌동	75-2	0002	0075	인덕원대우	84.96	201706	1~10	        45,750	3	2001	학의로
경기도 안양시 동안구 평촌동	75-2	0002	0075	인덕원대우	84.96	201706	1~10	        45,500	20	2001	학의로
경기도 안양시 동안구 평촌동	75-2	0002	0075	인덕원대우	60	201706	1~10	        42,100	11	2001	학의로
경기도 안양시 동안구 평촌동	75-2	0002	0075	인덕원대우	60	201706	1~10	        37,300	2	2001	학의로
